k,Dialogue,Description
Night View,"You see a vision of a ghostly couple walking the grounds, silently strolling in their wedding best.","You must attempt a Knowledge roll: 5+ You recognize the ghosts as former inhabitants of the house. You call their names, and they turn to you, whispering dark secrets of the house. Gain 1 Knowledge. 0-4 You pull back in horr, unable to watch."
Locked Safe,"Behind a portrait is a wall safe. It is trapped, of course.","Putt the Safe token in this room. Once during an explorer's turn, that explorer can attempt a Knowledge roll to open the Safe: 5+ Draw 2 item cards and remove the Safe token. 2-4 Take 1 die of physical damage. The safe won't open. 0-1 Take 2 dice of physical damage. The Safe won't open."
Phone Call,A phone rings in the room. You feel compelled to answer it.,"Roll 2 dice. A sweet little granny voice says: 4 ""Tea and cakes! Tea and cakes! You always were my favorite!"" 3 ""I'm always here for you, Pattycakes. Watching …"" Gain 1 Knowledge. 1-2 ""I'm here, Sweetums! Give us a kiss!"" Take 1 die of mental damage. 0 ""Bad little children must be punished!"" Take 2 dice of physical damage."
Creepy Crawlies,"A thousand bugs spill out on your skin, under your clothes, and in your hair.","You must attempt a Sanity roll: 5+ You blink, and they're gone. Gain 1 Sanity. 1-4 Lose 1 Sanity. 0 Lose 2 Sanity."
Creepy Puppet,You see one of those dolls that give you the willies. It jumps at you with a tiny spear.,"The player on your right rolls a Might 4 attack for the Creepy Puppet. The player on your right rolls a Might 4 attack for the Creepy Puppet. You defend against this attack as normal, by rolling dice equivalent to your Might. If you take any damage from this attack, the explorer with the Spear gains 2 Might (unless you have the Spear)."
Something Slimy,What's around your ankle? A bug? A tentacle? A dead hand clawing?,You must attempt a Speed roll: 4+ You break free. Gain 1 Speed. 1-3 Lose 1 Might. 0 Lose 1 Might and 1 Speed.
Webs,"Casually, you reach up to brush some webs aside … but they won't brush away. They cling.","You must attempt a Might roll: 4+ You break free. Gain 1 Might and discard this card. 0-3 You're stuck. Keep this card. If you're stuck, you can't do anything until you're freed. Once during an explorer's turn, any explorer can attempt a Might roll to free you. (You can also attempt this roll.) A 4+ succeeds, but you don't gain the 1 Might. Anyone failing an attempt can't move for the rest of that turn. After 3 unsuccessful attempts, you break free automatically on your next turn and take your turn normally. When you're free, discard this event."
Jonah's Turn,"Two boys are playing with a wooden top. ""Would you like a turn Jonah?"" one asks. ""No,"" says Jonah, ""I want all the turns."" Jonah takes the top and hits the other boy in the face. The boy falls. Jonah keeps hitting him as they fade from view.","If an explorer has the Puzzle Box, that explorer discards that item and draws a replacement item for it. If this happens, you gain 1 Sanity; otherwise, you take 1 die of mental damage."
It is Meant to Be,"You collapse to the floor, visions of future events pouring through your head.","Choose one of these 2 options: 1. You can look at the top 3 tiles or cards of any one stack. If you do, rearrange those 3 tiles or cards in any order and put them back on top. Do not tell anyone the results. 2. You can choose instead to roll 4 dice and write down the result. For one future die roll of your choice that you attempt, you can use that number instead of rolling. If that number is higher than the maximum possible result, use the maximum possible result instead."
Whoops!,"You feel a body under your foot. Before you can leap away from it, you're knocked over. A giggling voice runs away from you.",Turn over all your item cards (not your omen cards) and shuffle them. The player to your right randomly discards one of them. Then turn your item cards face up again.
Debris,Plaster falls from the walls and ceiling.,"You must attempt a Speed roll: 3+ You dodge the plaster. Gain 1 Speed. 1-2 You're buried in debris. Take 1 die of physical damage. 0 You're buried in debris. Take 2 dice of physical damage. If you're buried, keep this card. You can't do anything until you're freed. Once during an explorer's turn, that explorer can attempt a Might roll to free you. (You can also attempt this roll.) A 4+ succeeds. After 3 unsuccessful attempts, you break free automatically on your next turn and take your turn normally. Discard this card when you're free."
Footsteps,"The floorboards slowly creak. Dust rises. Footprints appear on the dirty floor. And then, as they reach you, they are gone.","Roll 1 die. (An explorer in the Chapel rolls 1 additional die on this roll.) 4 You and the nearest explorer gain 1 Might. 3 You gain 1 Might, and the nearest explorer loses 1 Sanity. 2 Lose 1 Sanity. 1 Lose 1 Speed. 0 Each explorer loses 1 point from a trait of his or her choice."
The Beckoning,Outside. You must get outside. Fly to freedom!,"Each explorer in the Gardens, Graveyard, Tower, on the Balcony, or in a room with an outside-facing window must attempt a Sanity roll: 3+ You back away from the ledge. 0-2 You dump to the Patio. (If it isn't in the house, search the room stack for it, put it in the house, and shuffle that stack.) Put your explorer there and take 1 die of physical damage. Each result affects only the explorer making that roll."
Hideous Shriek,"It starts like a whipser, but ends in a soul-rending shriek.",Each explorer must attempt a Sanity roll: 4+ You resist the sound. 1-3 Take 1 die of mental damage. 0 Take 2 dice of mental damage. Each result affects only the explorer making that roll.
Smoke,"Smoke billows around you. You cough, wiping away tears.",Put the Smoke token in this room. The Smoke blocks line of sight from adjacent rooms. An explorer rolls 2 fewer dice (minimum of 1 die) on all trait rolls while in this room.
The Lost One,A woman wearing a Civil War dress beckons to you. You fall into a trance.,"You must attempt a Knowledge roll. If the result is 5 or more, you break out of your trance and gain 1 Knowledge; otherwise, roll 3 dice to see where the Lost One leads you: 6 Put your explorer in the Entrance Hall. 4-5 Put your explorer in the Upper Landing. 2-3 Draw room tiles until you find an upper floor room. 0-1 Draw room tiles until you find a basement room. If this card requires you to draw a room tile for a specific floor, put that tile in the house, and put your explorer there. If you reach the end of the stack without drawing a room for the floor you rolled, put you rexplorer in the Entrance Hall instead."
The Voice,"""I'm under the floor, buried under the floor .."" The voice whipser once, then is gone.","You must attempt a Knowledge roll: 4+ You find something under the floor. Draw an item card. 0-3 You dig and search for the voice, but to no avail."
Skeletons,"Mother and child, still embracing.","Put the Skeletons token in this room. Take 1 die of mental damage. Once during an explorer's turn, that explorer can attempt a Sanity roll to search the Skeletons: 5+ Draw an item card. Remove the Skeletons token. 0-4 You dig around, but find nothing. Take 1 die of mental damage. Each result affects only the explorer making that roll."
Mystic Slide,"If you're in the Basement, this event affects the next explorer to your left not in the basement. Discard this card if all of the explorers are in the Basement. The floor falls from under you.","Place the Slide token in this room, then attempt a Might roll to use the Slide. 5+ You control the Slide. Put yourself in any explored room on any floor below the Slide. 0-4 Draw tiles from the room stack until you draw a basement room. Place the room tile. (If no basement rooms are in the stack, choose a basement room in play.) You fall to that room and take 1 die of physical damage. If it's not your turn, don't draw a card for that room. On later turns, any explorer can attempt this roll to use the Slide."
